Player,FantPos,2025PPR,Predicted Fantasy Points (CV),Predicted Fantasy Points (FT),Residual_CV,Residual_FT
Derrick Henry,RB,294.0,224.61,272.22,-69.4,-21.8
Christian McCaffrey,RB,292.6,130.2,243.99,-162.4,-48.6
Alvin Kamara,RB,291.7,238.95,263.96,-52.8,-27.7
Josh Jacobs,RB,286.6,220.52,266.52,-66.1,-20.1
Kyren Williams,RB,269.5,260.84,269.41,-8.7,-0.1
Joe Mixon,RB,264.5,244.34,262.54,-20.2,-2.0
James Conner,RB,258.0,240.54,252.58,-17.5,-5.4
Aaron Jones,RB,257.2,216.03,237.95,-41.2,-19.2
Breece Hall,RB,254.5,233.19,251.13,-21.3,-3.4
Bucky Irving,RB,250.7,194.38,226.64,-56.3,-24.1
Ashton Jeanty,RB,246.8,195.1,227.43,-51.7,-19.4
Chase Brown,RB,240.0,214.6,233.76,-25.4,-6.2
Kenneth Walker III,RB,235.7,187.07,217.41,-48.6,-18.3
Jonathan Taylor,RB,221.9,196.87,217.23,-25.0,-4.7
James Cook,RB,220.0,238.04,230.75,18.0,10.8
D'Andre Swift,RB,213.0,222.92,211.5,9.9,-1.5
Chuba Hubbard,RB,212.0,201.84,215.47,-10.2,3.5
David Montgomery,RB,198.6,196.39,199.02,-2.2,0.4
Tony Pollard,RB,190.4,182.76,197.62,-7.6,7.2
RJ Harvey,RB,182.5,155.69,169.62,-26.8,-12.9
Brian Robinson Jr.,RB,175.0,193.12,181.1,18.1,6.1
TreVeyon Henderson,RB,173.6,134.56,142.28,-39.0,-31.3
Omarion Hampton,RB,165.9,161.72,164.94,-4.2,-1.0
Javonte Williams,RB,162.6,176.2,161.53,13.6,-1.1
Najee Harris,RB,160.2,224.64,186.01,64.4,25.8
Zach Charbonnet,RB,158.6,171.4,160.3,12.8,1.7
Jaylen Warren,RB,157.9,129.64,151.38,-28.3,-6.5
Zack Moss,RB,156.2,94.94,136.97,-61.3,-19.2
Austin Ekeler,RB,153.2,153.03,144.8,-0.2,-8.4
Tyrone Tracy Jr.,RB,148.1,179.42,160.51,31.3,12.4
Rhamondre Stevenson,RB,146.6,200.57,174.33,54.0,27.7
Quinshon Judkins,RB,142.5,137.09,137.15,-5.4,-5.3
Isiah Pacheco,RB,139.4,150.55,144.56,11.2,5.2
Rachaad White,RB,136.8,188.62,170.49,51.8,33.7
Tyler Warren,RB,133.9,103.84,118.5,-30.1,-15.4
Bhayshul Tuten,RB,133.2,149.55,142.28,16.4,9.1
Tyjae Spears,RB,132.3,140.53,131.86,8.2,-0.4
Kaleb Johnson,RB,130.6,143.98,137.15,13.4,6.6
Kareem Hunt,RB,130.4,166.55,145.08,36.2,14.7
Cam Skattebo,RB,127.5,134.56,142.28,7.1,14.8
Travis Etienne Jr.,RB,125.8,181.57,145.25,55.8,19.5
Roschon Johnson,RB,125.4,95.24,114.02,-30.2,-11.4
Raheem Mostert,RB,123.6,136.68,130.35,13.1,6.8
Jaydon Blue,RB,123.1,97.16,104.31,-25.9,-18.8
Isaac Guerendo,RB,120.1,94.38,108.94,-25.7,-11.2
Kendre Miller,RB,114.0,51.79,88.94,-62.2,-25.1
Jordan Mason,RB,111.3,133.19,112.99,21.9,1.7
Tank Bigsby,RB,109.0,159.35,126.43,50.3,17.4
