Player,Data Split,FantPos,Predicted Fantasy Points,2025PPR
Mike Evans,Train,WR,254.48,262.6
Courtland Sutton,Train,WR,221.12,217.9
DJ Moore,Train,WR,259.15,253.6
Tee Higgins,Train,WR,263.24,271.3
Tyreek Hill,Train,WR,255.04,261.0
Jakobi Meyers,Test,WR,216.11,219.2
A.J. Brown,Train,WR,243.36,257.7
Jordan Addison,Train,WR,237.93,227.5
Jameson Williams,Train,WR,201.64,188.6
Nico Collins,Train,WR,272.81,283.5
Zay Flowers,Train,WR,216.87,215.6
Puka Nacua,Train,WR,290.84,304.4
DeVonta Smith,Train,WR,234.59,229.5
Calvin Ridley,Train,WR,200.47,206.4
Jayden Reed,Train,WR,181.75,185.6
Marvin Harrison Jr.,Train,WR,226.52,227.3
Darnell Mooney,Train,WR,201.71,190.5
DK Metcalf,Test,WR,210.83,219.1
Xavier Worthy,Train,WR,232.63,242.4
Keenan Allen,Train,WR,141.15,131.0
Josh Downs,Train,WR,175.16,163.0
Wan'Dale Robinson,Train,WR,186.25,180.3
Khalil Shakir,Train,WR,183.57,170.3
Cooper Kupp,Test,WR,200.81,193.9
Quentin Johnston,Train,WR,175.67,190.1
Rashod Bateman,Train,WR,186.06,193.3
Michael Pittman Jr.,Train,WR,185.08,180.6
George Pickens,Train,WR,220.33,225.5
Alec Pierce,Train,WR,132.85,131.7
Deebo Samuel Sr.,Test,WR,118.56,197.8
Jalen Tolbert,Train,WR,132.53,138.1
Jaylen Waddle,Train,WR,181.78,190.8
Demario Douglas,Test,WR,182.85,151.2
DeAndre Hopkins,Train,WR,127.46,120.0
Rome Odunze,Train,WR,163.94,178.7
Ray-Ray McCloud,Train,WR,134.99,126.3
Tank Dell,Train,WR,29.06,0.0
Adam Thielen,Train,WR,151.71,155.2
Chris Godwin,Train,WR,223.15,231.0
Nick Westbrook-Ikhine,Train,WR,158.55,165.4
Jalen McMillan,Train,WR,142.59,129.7
Romeo Doubs,Train,WR,149.2,159.4
Tre Tucker,Train,WR,128.58,130.6
Marvin Mims Jr.,Test,WR,124.35,141.5
Xavier Legette,Train,WR,139.14,134.3
Michael Wilson,Train,WR,132.05,144.8
Demarcus Robinson,Train,WR,105.18,93.1
Amari Cooper,Train,WR,126.89,131.0
Stefon Diggs,Train,WR,188.65,187.4
Kayshon Boutte,Train,WR,136.35,127.5
Tyler Lockett,Train,WR,123.52,119.1
Elijah Moore,Test,WR,177.47,131.0
Andrei Iosivas,Train,WR,121.84,105.5
Calvin Austin III,Train,WR,139.55,151.3
Keon Coleman,Train,WR,154.07,155.5
Dontayvion Wicks,Test,WR,126.92,112.9
Darius Slayton,Train,WR,104.68,98.3
Joshua Palmer,Test,WR,126.83,125.7
Christian Watson,Train,WR,123.64,134.8
Tutu Atwell,Test,WR,115.75,117.8
Ricky Pearsall,Train,WR,154.81,159.9
Jalen Coker,Train,WR,139.63,136.3
Tim Patrick,Train,WR,132.67,131.0
Diontae Johnson,Train,WR,108.31,92.1
Noah Brown,Train,WR,105.12,99.3
Cedric Tillman,Test,WR,150.14,130.4
Rashid Shaheed,Test,WR,135.11,161.8
Tyler Boyd,Test,WR,135.9,131.0
Chris Olave,Test,WR,206.29,193.5
Christian Kirk,Train,WR,166.18,179.7
Brandin Cooks,Train,WR,123.0,117.9
Kendrick Bourne,Test,WR,106.42,131.0
Rashee Rice,Train,WR,254.2,266.5
Curtis Samuel,Train,WR,109.36,106.6
Brandon Aiyuk,Train,WR,199.24,196.3
Mike Williams,Train,WR,116.58,117.2
Kalif Raymond,Train,WR,128.92,131.0
Gabe Davis,Train,WR,134.62,131.0
Adonai Mitchell,Train,WR,135.82,131.0
Nelson Agholor,Train,WR,114.03,131.0
Jahan Dotson,Train,WR,123.36,131.0
Josh Reynolds,Train,WR,103.56,89.5
Trey Palmer,Train,WR,130.65,131.0
Ja'Lynn Polk,Test,WR,140.62,131.0
K.J. Osborn,Train,WR,135.23,131.0
Marquise Brown,Train,WR,158.52,164.7
DJ Chark,Train,WR,132.01,131.0
Travis Hunter,Train,WR,149.29,192.2
Tetairoa McMillan,Train,WR,149.29,159.1
Matthew Golden,Train,WR,149.29,158.2
Jack Bech,Train,WR,149.29,140.3
Emeka Egbuka,Train,WR,146.87,140.3
Luther Burden III,Train,WR,144.4,137.6
Jayden Higgins,Train,WR,149.29,111.0
Jaylin Noel,Test,WR,146.87,131.0
Rondale Moore,Train,WR,95.56,93.7
Brock Bowers,Train,TE,261.04,262.6
Trey McBride,Train,TE,244.75,243.7
George Kittle,Train,TE,253.11,253.5
Jonnu Smith,Test,TE,220.73,204.9
Travis Kelce,Test,TE,211.93,233.2
Mark Andrews,Train,TE,187.46,188.1
Zach Ertz,Train,TE,174.61,174.6
Sam LaPorta,Train,TE,191.39,192.8
Pat Freiermuth,Test,TE,168.22,157.5
Tucker Kraft,Train,TE,150.01,148.9
David Njoku,Train,TE,186.16,186.0
Hunter Henry,Train,TE,146.73,144.6
Mike Gesicki,Test,TE,130.26,139.5
Cade Otton,Train,TE,143.17,141.2
Kyle Pitts,Train,TE,125.61,128.8
Isaiah Likely,Train,TE,134.31,137.8
Juwan Johnson,Train,TE,124.36,123.7
Tyler Conklin,Train,TE,118.54,118.6
Cole Kmet,Train,TE,104.96,99.0
Dalton Schultz,Train,TE,135.15,134.1
Chigoziem Okonkwo,Train,TE,118.41,118.6
Noah Gray,Train,TE,77.89,75.9
Jake Ferguson,Train,TE,147.39,151.2
Noah Fant,Train,TE,114.2,111.0
Dallas Goedert,Train,TE,168.94,171.1
Taysom Hill,Test,TE,127.13,159.6
Dalton Kincaid,Test,TE,122.59,127.8
Brenton Strange,Train,TE,103.68,105.9
Evan Engram,Train,TE,188.58,189.0
T.J. Hockenson,Train,TE,166.76,166.5
Ja'Tavion Sanders,Train,TE,90.74,83.7
Theo Johnson,Train,TE,107.56,113.0
